"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","39","should count persisted orders","","2026-07-10","failed","2026-07-10","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","countsOrders"
"","27","should persist an order with default values","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","createsOrder"
"","51","should persist and count multiple orders","","2026-07-10","failed","2026-07-10","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","countsMultipleOrders"
"","52","shouldUseContainerCredentialsAndApplyMigrations()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.support.PostgresFlywayInfrastructureTest","com.ust.sdet.support.PostgresFlywayInfrastructureTest","shouldUseContainerCredentialsAndApplyMigrations"
"","35","should persist an order with custom attributes","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","createsOrderWithCustomAttributes"
