"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","35","countsOrders()","","2026-07-09","passed","2026-07-09","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","countsOrders"
"","115","shouldUseContainerCredentialsAndApplyMigrations()","","2026-07-09","passed","2026-07-09","","com.ust.sdet.support.PostgresFlywayInfrastructureTest","com.ust.sdet.support.PostgresFlywayInfrastructureTest","shouldUseContainerCredentialsAndApplyMigrations"
"","31","createsOrder()","","2026-07-09","passed","2026-07-09","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","createsOrder"
